Product Name,Image,Sub - Category,Potential Supplier,Supplier Model Number,Heyzack Refeance Number,MOQ,SALES PRICE,Price,Order Price,Launchboom,Specification,Features,Communication Protocol,Power Source,Specs-final,Main Catagory 
Curtain Kit (Garris),,"Curtain, Shutter and Garage Door Controllers",Tuaon,GM46-514,,"39,26 €","235,56 €",42.43,,,"Smart curtain kit with 1x Zigbee/WIFI motor+1x 2.14 Meter track+ 1x one-way remote control
Garris Track dimension: 1x50CM, 2x20CM, 1x10CM, rotating box 14CM, extension piece 3CM ","1. Wake up to gentle sunlight without leaving bed—tap the remote and your curtains glide open while you’re still cozy under the covers.
2. Leave the house knowing every window looks lived-in—one button rolls them closed so your place feels occupied even when you’re miles away.
3. Block afternoon heat before it reaches your sofa, trimming the AC bill without you lifting a finger.
4. Fit the slim track inside any window frame in under an hour; no drill heroics, no handyman invoice.
5. Gain a safer kids’ room—cord-free curtains that open and close on command, so little hands never tug on dangling strings.",,,"Smart curtain kit with 1x Zigbee/WIFI motor+1x 2.14 Meter track+ 1x one-way remote control | Garris Track dimension: 1x50CM, 2x20CM, 1x10CM, rotating box 14CM, extension piece 3CM",Access
Curtain Kit (Garris),,"Curtain, Shutter and Garage Door Controllers",Tuaon,GM46-614,,"42,66 €","255,96 €",46.40,,,"Smart curtain kit with 1x Zigbee/WIFI motor+1x 2.14 Meter track+ 1x one-way remote control
Garris Track dimension: 1x50CM, 2x20CM, 1x10CM, rotating box 14CM, extension piece 3CM ","1. Open every curtain in the house before your feet hit the floor—one tap on the included remote starts your day with sunlight instead of fumbling with cords.
2. Leave for vacation knowing the curtains still open and close nightly, so the house looks lived-in without you lifting a finger.
3. Block afternoon heat or trap evening warmth automatically, trimming the energy bill while you stay comfortable on the couch.
4. Snap-together track pieces fit windows up to 2.14 m with no sawing or screws, so “installed by lunch” actually means it.
5. Kids and guests operate it like a TV remote—no apps, accounts, or Wi-Fi required—just point, press, and the room adjusts instantly.",,,"Smart curtain kit with 1x Zigbee/WIFI motor+1x 2.14 Meter track+ 1x one-way remote control | Garris Track dimension: 1x50CM, 2x20CM, 1x10CM, rotating box 14CM, extension piece 3CM",Access
Curtain Kit (Garris),,"Curtain, Shutter and Garage Door Controllers",Tuaon,GM46-714,,"46,29 €","277,74 €",49.65,,,"Smart curtain kit with 1x Zigbee/WIFI motor+1x 2.14 Meter track+ 1x one-way remote control
Garris Track dimension: 1x50CM, 2x20CM, 1x10CM, rotating box 14CM, extension piece 3CM ","1. Wake up to gentle daylight without leaving your bed—tap the remote and the curtains glide open on their own.
2. Leave the house knowing every window looks occupied—one button closes them all while you walk to the car.
3. Drop room temperature on hot afternoons by scheduling the curtains to shut when the sun hits, so the AC works less and your bill shrinks.
4. Fit any window up to 7 ft wide with the included extendable track pieces—no cutting or extra trips to the hardware store.
5. Replace dangling cords and keep kids safe—the quiet motor moves fabric smoothly while you stay hands-free.",,,"Smart curtain kit with 1x Zigbee/WIFI motor+1x 2.14 Meter track+ 1x one-way remote control | Garris Track dimension: 1x50CM, 2x20CM, 1x10CM, rotating box 14CM, extension piece 3CM",Access
Curtain Kit (Garris),,"Curtain, Shutter and Garage Door Controllers",Tuaon,GM46-814,,"49,61 €","297,66 €",53.26,,,"Smart curtain kit with 1x Zigbee/WIFI motor+1x 2.14 Meter track+ 1x one-way remote control
Garris Track dimension: 1x50CM, 2x20CM, 1x10CM, rotating box 14CM, extension piece 3CM ","1. Open the curtains without leaving your bed, so Sunday mornings start with sunlight instead of cold floors.
2. Close every curtain from the couch in one second when the movie starts, keeping the room dark and cozy.
3. Set them to open at sunrise and close at sunset, cutting AC use by blocking midday heat without you remembering.
4. The track snaps together to fit any window up to 2 m wide—no drilling, no toolbox, just click and done.
5. One small remote lives on the nightstand, giving kids and guests a simple button that always works, even if your phone dies.",,,"Smart curtain kit with 1x Zigbee/WIFI motor+1x 2.14 Meter track+ 1x one-way remote control | Garris Track dimension: 1x50CM, 2x20CM, 1x10CM, rotating box 14CM, extension piece 3CM",Access
Zigbee Mini Garage Door Controller,,"Curtain, Shutter and Garage Door Controllers",Tuaon,ZMGD01,,"54,72 €","328,32 €",10.30,,,"Smart curtain kit with 1x Zigbee/WIFI motor+1x 2.14 Meter track+ 1x one-way remote control
Garris Track dimension: 1x50CM, 2x20CM, 1x10CM, rotating box 14CM, extension piece 3CM ","1. Open the curtains without leaving your bed on cold mornings—the remote reaches across the room, so you stay cozy until the sun warms the house.
2. Snap the track together in minutes; the pre-cut pieces fit any window up to 2.14 m, saving you a Saturday trip to the hardware store.
3. Set the motor to pull blackout curtains closed at sunset and cut evening heat-loss, so the living-room stays comfortable and the heating bill drops.
4. One tap on the bedside remote closes every curtain at once, giving you instant privacy without walking through the house at night.
5. The quiet motor glides curtains shut while kids sleep, letting you darken bedrooms for naps and movie nights without a sound.",,,"Smart curtain kit with 1x Zigbee/WIFI motor+1x 2.14 Meter track+ 1x one-way remote control | Garris Track dimension: 1x50CM, 2x20CM, 1x10CM, rotating box 14CM, extension piece 3CM",Access
WiFi+BLE Mini Curtain Switch (1CH),,"Curtain, Shutter and Garage Door Controllers",Tuaon,GS-WMC01,,"58,34 €","350,04 €",5.60,,,"Operating voltage :AC100-240V50/60Hz
Wireless protocol :Zigbee3.0 IEEE 802.15.4","1. Close every curtain from bed and wake up feeling private without stepping on cold floors.
2. Let the blinds track the sun automatically, so your sofa stays cool and the AC runs less.
3. Tap once to drop the shutters when the movie starts—no cords, no wobble, just instant cinema darkness.
4. Check and close any open curtain from the airport, so your home looks lived-in while you’re away.
5. Replace a wall switch in minutes with the same wires; no new holes, no toolbox chaos.",,,Operating voltage: AC100-240V50/60Hz | Wireless protocol: Zigbee3.0 IEEE 802.15.4,Access
Smart Rope pull Blinds motor,,"Curtain, Shutter and Garage Door Controllers",Tuaon,GS-LS-ZIG,,"27,98 €","167,88 €",38.50,,,"1.Timer your shedule via APP to set open or close time for roller shutters
2.Compatible with a variety of shades,blinds,curtains.
3.AC adapter is a must for normal use of the wifi blinds motor with no battery powered
4.Support one mobile phone to control multiple devices or multiple
mobile phone to control one device.
5.RF remote control supported as another single control method
6 zigbee motor with battery power","1. Wake up to gentle daylight every morning without leaving bed—set your curtains to open automatically when your alarm goes off.
2. Close every shutter in seconds from one screen when the sun hits, keeping rooms cool and AC bills lower without walking room to room.
3. Let the house look occupied while you’re away—schedule blinds to move up and down so it still feels lived-in.
4. Hand the spare remote to kids or guests; they can adjust shades without downloading another app or needing your phone.
5. Swap the corded model for the rechargeable Zigbee motor and mount it anywhere—no outlet nearby, no problem.",,,"Timer your schedule via APP to set open or close time for roller shutters | Compatible with a variety of shades,blinds,curtains | AC adapter is a must for normal use of the wifi blinds motor with no battery powered | Support one mobile phone to control multiple devices or multiple mobile phone to control one device | RF remote control supported as another single control method | zigbee motor with battery power",Access
Smart Curtain Switch Module Zigbee,,"Curtain, Shutter and Garage Door Controllers",Tuaon,"GS-zigbee-CU02-
Curtain",,"31,59 €","189,54 €",9.90,,,"Voltage: AC110-240V 50/60Hz
Max. Load: LED 250W 2x3A
Operation frequency: 2.412GHZ-4.484GHz
Operation temp.: -10 ℃-+40℃
Protocol: WIFI IEEE 802.11 b/g/h
Operation range: less then 100m
Dims(WxDxH) 39.2*39.2*18mm
IP rating: IP20
Warranty: 2 years
Networking: Zigbee 3.0","1. Close every curtain in the house from bed and wake up to the exact light you want—no walking room to room before coffee.
2. Let the shades drop automatically when the sun heats up, so rooms stay cooler and the AC runs less without you touching a thing.
3. Make it look like you’re home while away by opening and closing shutters on a schedule, adding quiet security that fits your daily rhythm.
4. Wire it into any existing switch box in minutes; the tiny 39 mm cube hides inside and leaves your wall just as clean as before.
5. Control curtains by voice or phone from anywhere under 100 m away—perfect for tall windows or hard-to-reach spots you used to climb furniture to reach.",,,Voltage: AC110-240V 50/60Hz | Max. Load: LED 250W 2x3A | Operation frequency: 2.412GHZ-4.484GHz | Operation temp.: -10 ℃-+40℃ | Protocol: WIFI IEEE 802.11 b/g/h | Operation range: less then 100m | Dims(WxDxH): 39.239.218mm | IP rating: IP20 | Warranty: 2 years | Networking: Zigbee 3.0,Access
Blind motor,,"Curtain, Shutter and Garage Door Controllers",Tuaon,LY-1690-3,,"35,20 €","211,20 €",30.50,,,"Control method: Tuya App/remote control Product
size: 167*43*37.5 MM
Power: 4W
Voltage/current: 5V/2A
Port: Type C
Standby power consumption: 25mA
Communication method: Wifi
Power supply: 5V/2A
Speed: 3.6CM/S Application track: blinds and roller
blinds
Material: ABS+PC
Size: 210*168*72mm, 0.62kg/box
20 pieces/carton, size: 43.2*41*40.5cm Carton gross
weight: 13.4kg","1. Open every blind before you leave bed and let morning light wake you naturally, all from your phone.
2. Close every shade at once when the sun shifts, keeping rooms cooler and easing the load on your AC.
3. Make it look like you’re home while away by scheduling blinds to move throughout the day, deterring anyone watching the house.
4. Skip the ladder—tap once to adjust hard-to-reach roller blinds over the sink or behind the sofa.
5. Run it all year on the same phone charger you already own—no wiring, no batteries to replace, just plug and relax.",,,"Control method: Tuya App/remote control | Product size: 1674337.5 MM | Power: 4W | Voltage/current: 5V/2A | Port: Type C | Standby power consumption: 25mA | Communication method: Wifi | Power supply: 5V/2A | Speed: 3.6CM/S | Application track: blinds and roller blinds | Material: ABS+PC | Size: 21016872mm, 0.62kg/box | 20 pieces/carton, size: 43.24140.5cm | Carton gross weight: 13.4kg",Access
WIFI Smart Garage Controller(dry contact motor controlled garage doors),,"Curtain, Shutter and Garage Door Controllers",Tuaon,GS-MS102,,"38,80 €","232,80 €",12.15,,,"Smart Garage Controller :This product is suitable for dry contact motor controlled garage doors
Input:AC100-240V 50/60HZ
Output:NO
Power:300W
Electricity:16A","1. Leave the house without wondering—tap once and watch the door roll shut while you pull away.
2. Skip the turnaround drive; check and close the garage from your phone at work or the grocery line.
3. Let the door welcome you home by opening as your car reaches the driveway—no fumbling for remotes in the rain.
4. Save on energy bills by shutting the door automatically if someone forgets, keeping heated or cooled air inside.
5. Install in minutes with the wires you already have, then run the whole thing from the same app that handles your lights and locks.",,,Smart Garage Controller: This product is suitable for dry contact motor controlled garage doors | Input: AC100-240V 50/60HZ | Output: NO | Power: 300W | Electricity: 16A,Access
Zigbee Intelligent LED driver,,Smart lighting System and Dimming Controller ,Tuaon,MYS-0715W,,"42,43 €","254,58 €",5.70,,,"It can control the down lamp and spot lamp cold light and warm light
constant voltage dimming driver
Power: Color Temperature adjustment 7W 9W 12W 15W
Input voltage :AC85-265V
Output voltage: DC21V-36V
Output current: 7W 150mA 9W 200mA 12W 260mA Size MM: 100*36*23 ","1. Set the perfect dinner-table glow or a bright task light for homework with one tap—no ladders, no swapping bulbs.
2. Match your lights to sunrise, movie night, or bedtime without leaving the sofa—your room always feels right.
3. Trim up to 15 W per lamp and watch the utility bill drop while the room stays fully lit.
4. Forget flickering or early burnouts; steady DC power keeps every bulb calm and long-lived, so you’re not replacing them on Saturday morning.
5. Install once—tiny driver tucks out of sight, works with the lamps you already own, and stays silent for years.",,,Control: down lamp and spot lamp cold light and warm light | Driver Type: constant voltage dimming driver | Power: Color Temperature adjustment 7W 9W 12W 15W | Input Voltage: AC85-265V | Output Voltage: DC21V-36V | Output Current: 7W 150mA 9W 200mA 12W 260mA | Size: 1003623 MM,Lighting
"Dimming and color adjustment
Constant current dial 0-10V/
1-10V PWM 10V
All-in-one",,Smart lighting System and Dimming Controller ,Tuaon,"PL-CCT10V-900-40
7-24W",,"46,40 €","278,40 €",8.70,,,"120*45+:25mm
AC85-265V
>85
>0.9
DC9-40V
150-600mA士 3% - Dimming and color adjustment
Constant current dial 0-10V/
1-10V PWM 10V
All-in-one","1. Set the exact light you need—dim movie-night glow to full-bright homework white—without getting up from the sofa.
2. Slide one dial and every linked bulb fades in perfect unison, so the whole room feels balanced instead of patchy.
3. Lights stay steady even when the microwave or printer kicks on, ending those annoying flickers that strain your eyes.
4. Dialing brightness down trims power use instantly, so the monthly utility bill quietly drops while you keep the same comfort.
5. One small panel replaces a tangle of dimmers and color gadgets, freeing wall space and leaving the switch plate looking clean.",,,120*45+:25mm | AC85-265V | >85 | >0.9 | DC9-40V | 150-600mA士 3% - Dimming and color adjustment | Constant current dial 0-10V/1-10V PWM 10V | All-in-one,Lighting
"zigbee light strip driver
RGB+C+W",,Smart lighting System and Dimming Controller ,Tuaon,GS-TGOZRGBCW,,"49,65 €","297,90 €",07.02,,,"Rated power: 12V-120W/24V-240W
Input voltae: DC12-24V
Output current: 10ADC
Support RGBCW light strip","1. Set the perfect dinner-party glow or a calming bedtime hue without leaving the sofa—your phone becomes the dimmer switch for every color and brightness level.
2. Never climb a ladder to flip a switch again: schedule lights to greet you after work and turn off once you’re tucked in, shaving minutes off every evening routine.
3. Light only what you need, when you need it—smooth dimming and independent white channel cut nightly energy use without sacrificing comfort or safety.
4. One slim driver powers an entire room of RGB-plus-white LEDs, eliminating the clutter of multiple adapters and freeing outlet space for things that matter.
5. Walk into any room and it’s already lit the way you left it—settings stay stored in the driver, so even if the app’s off, your favorite scenes are on.",,,Rated power: 12V-120W/24V-240W | Input voltage: DC12-24V | Output current: 10ADC | Support RGBCW light strip,Lighting
TV background light,,Smart lighting System and Dimming Controller ,Tuaon,AK330L-SC2335,,"53,26 €","319,56 €",32.50,,,"Tuya WIFI TV background light synchronized LED light with camera color RGBIC full range fantasy
color support alexa voc ie control
Number of LED Beads 30 beads/m (beads/m)
Luminous Flux per Bead 24lm (lm)
Beam Angle 180 degrees (degrees)
Power Factor 12V 2A
Dimmable Yes
Effective Lifespan 87600H (H)
Size 20318162mm (mm)
Weight 400g (g)
Protection Level Not Waterproof
Certification EU CE Certification
Application Scope TV Background
Special Service Switchable Multiple Color Modes
Color Temperature RGB (K)
Color Rendering Index RGB","1. Movie night feels like a private cinema when the wall behind your TV glows with colors that match the scene, no extra remotes needed.
2. Ask Alexa to dim the lights for bedtime and the room settles into calm without you leaving the couch.
3. One 10-minute stick-on install gives you eight years of nightly glow—no bulbs to chase or swap.
4. The 24-lumen LEDs sip just 24 watts, so you can leave the ambiance on all evening for less than the cost of a snack.
5. Tap the app while you’re away and the living-room lights turn on, making the house look lived-in and welcoming when you return.",,,Tuya WIFI TV background light synchronized LED light with camera color RGBIC full range fantasy | color support alexa voc ie control | Number of LED Beads 30 beads/m (beads/m) | Luminous Flux per Bead 24lm (lm) | Beam Angle 180 degrees (degrees) | Power Factor 12V 2A | Dimmable Yes | Effective Lifespan 87600H (H) | Size 20318162mm (mm) | Weight 400g (g) | Protection Level Not Waterproof | Certification EU CE Certification | Application Scope TV Background | Special Service Switchable Multiple Color Modes | Color Temperature RGB (K) | Color Rendering Index RGB,Lighting
RGBCW Smart Zigbee Bulb,,Smart lighting System and Dimming Controller ,Tuaon,GS-ZGA19,,"10,30 €","61,80 €",5.60,,,"Tuya Zigbee 3.0
Power: 9W 850LM
Size: 60*114mm
Voltage 85-265V
Working temp.: -25℃ to 45℃
Connector: E27, E26, B22
Ra:80 PF:0.5290
Needs to work with gateway, Support Amazon, Google, Xiaodu and other major smart speakers","1. Walk into a bright, welcoming house without fumbling for switches—your phone or voice turns every bulb on before you reach the door.
2. Set lights to fade on at dusk and off at bedtime so the kids feel safe upstairs while you stay curled on the couch.
3. Dim the living-room white down to movie-night amber or shift it to cool daylight for homework—one bulb, every mood, no extra lamps.
4. Save on the electric bill: an 9 W LED gives the same light as a 60 W old bulb and uses only what the schedule asks for.
5. Ask Alexa or Google to handle the lights when your hands are full of groceries; no new wiring, no app clutter—just screw in and speak.",,,"Tuya Zigbee 3.0 | Power: 9W 850LM | Size: 60*114mm | Voltage: 85-265V | Working temp.: -25℃ to 45℃ | Connector: E27, E26, B22 | Ra:80 PF:0.5290 | Needs to work with gateway, Support Amazon, Google, Xiaodu and other major smart speakers",Lighting
"RGB COB low voltage light strip (5
meters per roll)",,Smart lighting System and Dimming Controller ,Tuaon,GS-COB-RGB-5M,,"5,60 €","33,60 €",16.00,,,"LED TYPE:COB-576L-10MM
Voltage:DC24VColor:RGB
Waterproof:lP20
LED Quantity:576led/m
Length:5M/ROLL","1. Walk into any room and set the exact mood you want—party-bright, movie-dim, or cozy warm—without changing a bulb.
2. Light up dark hallways or stairs with steady, even glow so kids and guests skip the stumbles.
3. Run the full 5 m strip on safe 24 V power, keeping hands and pets out of harm’s way.
4. Leave it on guilt-free: 576 tiny LEDs sip electricity, trimming the energy bill every month.
5. Peel, stick, plug in—no tools, no fuss—and enjoy new room vibes before the kettle boils.",,,LED TYPE: COB-576L-10MM | Voltage: DC24V | Color: RGB | Waterproof: IP20 | LED Quantity: 576led/m | Length: 5M/ROLL,Lighting
24V Transformer Power Supply,,Smart lighting System and Dimming Controller ,Tuaon,DDDY-100W,,"38,50 €","231,00 €",6.80,,,"Power:100W, Color Temperature: 3000K-6000K, Voltage: DC24V
Power supply: 110V-240V","1. Walk into any room and the lights already feel like daylight you love—no warm-up, no flicker—because the steady 24 V feed keeps LEDs in their sweet spot from the first click.
2. Swap bulbs less often: the 100 W transformer runs a whole hallway of lights at a gentle 24 V, so each LED stays cool and lasts years longer than old 120 V setups.
3. Set the mood without touching the breaker box; the low-voltage line is safe to extend under cabinets or along headboards, giving you cozy 3000 K movie nights to crisp 6000 K Monday mornings with one smooth slider.
4. Cut lighting bills by up to 75 %—the supply only sends the watts each diode actually asks for, turning every dim-down into real money back on the monthly statement.
5. Install in minutes, not hours: one small brick accepts normal house current (110-240 V) and hands your lights a simple 24 V cable, so you skip electricians, conduits, and city permits.",,,Power:100W | Color Temperature: 3000K-6000K | Voltage: DC24V | Power supply: 110V-240V,Lighting
24V Transformer Power Supply,,Smart lighting System and Dimming Controller ,Tuaon,DDDY- 150W,,"9,90 €","59,40 €",7.20,,,"Power: 150W, Color Temperature: 3000K-6000K, Voltage: DC24V","1. Walk into any room and the lights already feel perfect—no harsh glare, no dim corners—because the 24V supply keeps the full 3000-6000K range steady and flicker-free from the first click to last.
2. Swap one small box under the cabinet and every bulb in the run is suddenly safer, running cool 24V DC so fixtures, little fingers, and curious pets never meet a hot surface.
3. Finish the day without the “did I leave them on?” drive-around; the efficient 150W supply sips power so you can leave lights low all evening for less than a single old 60W bulb used to cost.
4. Set a calming warm tone for movie night or bright daylight for homework in seconds—no app tutorials, no hubs—just smooth, silent dimming that everyone from kids to guests can figure out instantly.
5. Count on years of even light instead of climbing ladders to chase dead bulbs; stable 24V output means LEDs last their full rated life, saving you weekend trips up the stepladder and money on replacements.",,,Power: 150W | Color Temperature: 3000K-6000K | Voltage: DC24V,Lighting
24V Transformer Power Supply,,Smart lighting System and Dimming Controller ,Tuaon,"DDDY- 200 W, 300W",,"30,50 €","183,00 €",8.0,,,"Power: 200W/300W, Color Temperature: 3000K-6000K, Voltage: DC24V ","1. Light the whole kitchen to garage path with one slim box—200 W lets you run a 10 m strip without extra plugs, so night trips feel safe and cable clutter disappears.
2. Dial brightness from warm evening candle (3000 K) to crisp task white (6000 K) and cut daily energy use up to 25 % while the lights still look exactly the way you like.
3. The 24 V steady feed keeps LEDs flicker-free; goodbye eye strain after late Zoom calls and hello instant, even light when you flip the switch.
4. Install it once: the single 24 V output hooks to any standard dimmer or smart dial, saving an afternoon of rewiring and putting comfortable control right at your fingertips.
5. Built-in overload guard shuts the supply down before heat builds, so you can run accent lights inside cabinets or along timber shelves without lying awake worrying about safety.",,,Power: 200W/300W | Color Temperature: 3000K-6000K | Voltage: DC24V,Lighting
RGBW/WW-5050-60D (10 meters),,Smart lighting System and Dimming Controller ,Tuaon,103-0505 MMM994 ,,"12,15 €","72,90 €",44.00,,,"4 RGB+3000K+6000K five-in-one, 24W/m, DC24V, three-year warranty. 10 meters per roll.","1. Set the lights to mimic sunrise so you wake up gently without an alarm jarring the house.
2. Trim the 10 m roll to fit one room or circle the whole porch—no dark corners, no extra trips to the store.
3. Dim to a candle-like glow for movie night and cut power use to just a few watts—lower bills without squinting at settings.
4. Stick the strip, plug in the 24 V supply, done; no electrician, no ceiling holes, afternoon project finished before dinner.
5. Choose calm warm white for homework hour or switch to color when friends arrive—one ribbon, every mood, no extra clutter on the switch plate.",,,4 RGB+3000K+6000K five-in-one | 24W/m | DC24V | three-year warranty | 10 meters per roll,Lighting
"RGB COB low voltage light strip (5
meters per roll)",,Smart lighting System and Dimming Controller ,Tuaon,GS-COB-RGB-5M,,"100,00 €","600,00 €",16.00,,,"LED TYPE:COB-576L-10MM
Voltage:DC24VColor:RGB
Waterproof:lP20
LED Quantity:576led/m
Length:5M/ROLL","1. Set the perfect mood for movie night or a quiet dinner without leaving the couch—just one tap dims or colors 28 ft of seamless light.
2. Skip the electrician: the 24 V strip runs cool and safe, so you can handle install yourself and still let kids pet the dog underneath.
3. Cut yearly lighting costs thanks to 576 tiny LEDs per meter that give big brightness while sipping power.
4. Enjoy uniform glow with no dots or dark patches, turning kitchen counters and bedroom headboards into soft, comforting backdrops.
5. One 5-meter roll covers an entire room edge, ending the old puzzle of joining short strips and saving you an afternoon of extra work.",,,LED TYPE: COB-576L-10MM | Voltage: DC24V | Color: RGB | Waterproof: IP20 | LED Quantity: 576led/m | Length: 5M/ROLL,Lighting
RGBCW Smart Zigbee Bulb (round),,Smart lighting System and Dimming Controller ,Tuaon,GS-ZGA19,,"5,70 €","34,20 €",5.60,,,"Tuya Zigbee 3.0
Power: 9W 850LM
Size: 60*114mm
Voltage 85-265V
Working temp.: -25℃ to 45℃
Connector: E27, E26, B22
Ra:80 PF:0.5290
Needs to work with gateway, Support Amazon, Google, Xiaodu and other major smart speakers","1. Walk into a softly lit house after dark without fumbling for switches—one tap on your phone turns the bulb on before you open the door.
2. Set the light to “movie-night” warmth and it remembers, so every film evening starts cozy without you touching a dimmer again.
3. The 9 W draw trims your electric bill while giving the same brightness as a 60 W old bulb, quietly paying for itself each month.
4. Ask Alexa or Google to turn lights off from bed, and you’re under the covers faster—no more cold hallway sprint.
5. Vacation mode flips the light on and off while you’re away, making the place look lived-in so you relax on the beach instead of worrying about security.",,,"Tuya Zigbee 3.0 | Power: 9W 850LM | Size: 60*114mm | Voltage 85-265V | Working temp.: -25℃ to 45℃ | Connector: E27, E26, B22 | Ra:80 PF:0.5290 | Needs to work with gateway, Support Amazon, Google, Xiaodu and other major smart speakers",Lighting
RGBCW Smart Zigbee Bulb (flat),,Smart lighting System and Dimming Controller ,Tuaon,GS-ZGGU10,,"8,70 €","52,20 €",6.21,,,"Tuya Zigbee 3.0
Power: 5W 450LM
Size:45*57mm
Voltage 85-265V
Working temp.: -25℃ to 45℃
Connector: GU10
Certificate:
CE/FCC ID/Rohs
Support Amazon, Google, Xiaodu and other major smart speakers","1. Walk into a lit house without fumbling for switches—ask Alexa or Google to turn the bulb on before you reach the door.
2. Set the light to a soft evening white and wind down faster—no extra wiring, just a voice command from the sofa.
3. Cut evening energy use to 5 W—bright enough to read by, gentle on the monthly bill.
4. Leave for vacation knowing the lamp will turn on and off automatically—looks like you’re home even when you’re not.
5. Twist it into any GU10 fixture in seconds; the bulb self-connects and stays stable from -25 °C patio nights to 45 °C attic days.",,,"Tuya Zigbee 3.0 | Power: 5W 450LM | Size: 45*57mm | Voltage: 85-265V | Working temp.: -25℃ to 45℃ | Connector: GU10 | Certificate: CE/FCC ID/Rohs | Support Amazon, Google, Xiaodu and other major smart speakers",Lighting
"COB 2colors low voltage light strip
(10 meters per roll)",,Smart lighting System and Dimming Controller ,Tuaon,GS-COB-24V-684D-10mm,,"7,02 €","42,12 €",22.50,,,"Product name:COB smart light strip
Specifications: DC 24V-684D-10mm
Color temperature: dual color temperature 2700K+6500K Power:
9+9W/meter
Waterproof level: IP20
Packing quantity: 10 meters/roll
CRI:95 240220","1. Wake up to gentle daylight and wind down with candle-warm light—one strip gives you both, no extra switches needed.
2. Run a 10 m strip the full length of a kitchen or hallway on a single roll—no dark spots, no extra connectors to hide.
3. Cut the monthly bill: 9 W per meter lights an entire room for less than one old 60 W bulb.
4. Colors stay true—CRI 95 shows paint, food, and faces exactly as they look in sunlight.
5. Low-voltage 24 V keeps the strip cool to touch, so kids and pets stay safe even when it’s left on all evening.",,,Product name: COB smart light strip | Specifications: DC 24V-684D-10mm | Color temperature: dual color temperature 2700K+6500K | Power: 9+9W/meter | Waterproof level: IP20 | Packing quantity: 10 meters/roll | CRI: 95 | 240220,Lighting
"Intelligent Dimmable LED Light Strip
Driver & Power Supply 2 in 1",,Smart lighting System and Dimming Controller ,Tuaon,MYS-DDQ157-3way,,"32,50 €","195,00 €",7.42,,,"Intelligent Dimmable LED Light Strip Driver & Power Supply 2 in 1
Function: LED light strip Dimming & color temperature adjustment (Cold
& Warm color temperature)
Rated Power: 60W
Model: MYS-DDQ157
Working voltage: AC85-245V 50/60Hz PF≥0.5
Output current: 2.5A
Output voltage: DC24V 2.5A (Max) -- DC36V for downlight can be
made also.
Ta: 45℃ Te: 75℃
Driver mode: Constant voltage and current
Product size: 150*40*30mm
Wireless protocol: ZigBee
If it needs an additional power supply? - No need, this driver has
integrated power supply in it.","1. Light the hallway at 2 a.m. without blinding yourself—dial the strip down to a soft warm glow from your phone so everyone stays safe on the way to the bathroom.
2. End the ladder-and-ladder routine: set once for movie-night dim or work-day bright, then recall it instantly next time—no climbing, no fiddling, no wasted Saturday.
3. Match the room to your body clock—cool white for morning focus, warm amber for evening wind-down—so bedtime feels natural and sleep comes easier.
4. Trim energy use without noticing: the driver sips only what the LEDs need at each brightness level, quietly shaving cents off every electric bill.
5. One small box hides behind the cabinet—no extra bricks, no tangle of cords—leaving your counters clear and your smart lights simple from day one.",,,"Product Name: Intelligent Dimmable LED Light Strip Driver & Power Supply 2 in 1 | Function: LED light strip Dimming & color temperature adjustment (Cold & Warm color temperature) | Rated Power: 60W | Model: MYS-DDQ157 | Working voltage: AC85-245V 50/60Hz PF≥0.5 | Output current: 2.5A | Output voltage: DC24V 2.5A (Max) -- DC36V for downlight can be made also | Ta: 45℃ Te: 75℃ | Driver mode: Constant voltage and current | Product size: 1504030mm | Wireless protocol: ZigBee | Additional power supply needed: No need, this driver has integrated power supply in it",Lighting
Smart dimmable downlight (RGB),,Smart lighting System and Dimming Controller ,Tuaon,GS-XH-EZ03B-Zigbee,,"5,60 €","33,60 €",7.50,,,"Lamp head type: E26 E27
Control type: IEEE 802.15.4, ZigBee 3.0
Usage requirements: used with ZigBee gateway
Product size: 125*58*125 mm,
Net weight: 170g,
Input voltage range: 90-250V 50/60HZ,
Output power: 5W/7W/9W12W, 15W
Lumen: 1050lm
Opening size: 90-110mm,
Service life: 40000H","1. Walk into a room that’s already lit the way you like—no switch, no app hunt, just instant comfort every evening.
2. Set the lights to fade out at bedtime so the kids drift off without you leaving the sofa—one less nightly chore.
3. Dial brightness down to 5 W and shave up to 60 % off the ceiling-light portion of the bill—real savings you’ll notice each month.
4. Pick a warm white for homework, cool white for cooking, or a gentle color for movie night—mood matches moment with one swipe.
5. Install in a standard 90-110 mm ceiling hole, connect through the ZigBee gateway you already own, and it’s ready—no new wiring, no electrician hour.",,,"Lamp head type: E26 E27 | Control type: IEEE 802.15.4, ZigBee 3.0 | Usage requirements: used with ZigBee gateway | Product size: 12558125 mm | Net weight: 170g | Input voltage range: 90-250V 50/60HZ | Output power: 5W/7W/9W12W, 15W | Lumen: 1050lm | Opening size: 90-110mm | Service life: 40000H",Lighting
