Supplier,Model Number,Product Name,Category,Specifications,Communitcation protocol,Power Source,Country,Image,Price,MOQ,Catalogue,Packing,Status,DESIGNATION FR,REF HEYZACK,Drive Link,Lead Time
AVATTO,WT410-Matter,Smart Heating Thermostat,Smart Thermostat,"Features: LED beads display, Hand free voice control, App remote control, Weekly programmable, Screen backlight brightness adjustable | Protocol: 2.4G Wi-Fi/Matter | Voice control: Amazon Alexa, Google Home, Yandex Alice etc | Temperature sensor: NTC | Temperature accuracy: ±1°C | Display screen: LED | Working temperature: -5°C-50°C | Self power consumption: <1W | Temperature setting range: 15°C-95°C | Load current: Electric Heater 16A / Water Heater 3A / Gas Boiler 3A | Voltage: AC100-240V 50/60Hz | Size: 86*86*14(Front part)+26(Back part)mm","Wi-Fi 2.4GHz, Matter",AC 100-240V,,,"Q＜100： 12.55
100≤Q＜500：12.27
500≤Q＜1000：11.85
1000≤Q：11.16",100,,,evaluation,,,,
AVATTO,WT200,Smart Heating Thermostat,Smart Thermostat,"Features: Germany standard separated frame and thermostat body design, Hand free voice control, App remote control, Weekly programmable | Voice control: Amazon Alexa, Google Home, Yandex Alice etc | Temperature sensor: NTC | Temperature setting/display accuracy: 0.5°C / 0.1°C | Display screen: LED | Working temperature: -5°C-50°C | Self power consumption: <1W | Temperature setting range: 5°C-95°C | Hysteresis: 0.5°C-10°C | Load current: Electric Heater 16A/Water Heater 3A | Voltage: AC 95-220V 50/60Hz | Size: Frame 80*80 mm, Center part 55*55mm",Not specified,AC 95-220V,,,,,,,evaluation,Thermostat intelligent pour chauffage,HZ-CD-THERM03,,
AVATTO,WT598,Smart Heating Thermostat,Smart Thermostat,"Features: Temperature display on rest screen, Ultra-long distance rf signal transmission, Battery powered, Manual/programmable, Hand free voice control, App remote control | Control mode: temperature comparison | Control output: relay output | Input type (transmitter): three 1.5V battery(No.5)/USB-DC5V | Supply voltage (receiver): AC100-240V-50/60Hz | Temperature measurement range: 0-99°C | Sensor input: NTC | Transmit output: 433 RF communication | Remote control: Mobile APP-WIFI | Ambient temperature: -5-50°C | Display: LCD","Wi-Fi, RF 433MHz",Three 1.5V batteries (AAA) or USB DC 5V,,,"Q＜100：15.34
100≤Q＜500：14.64
500≤Q＜1000：13.95
1000≤Q：13.25",100,,,evaluation,Thermostat intelligent pour chauffage,HZ-CD-THERM04,,
AVATTO,WT598-1T1,Smart Heating Thermostat,Smart Thermostat,"Features: Temperature display on rest screen, Ultra-long distance rf signal transmission, Battery powered, Manual/programmable, Hand free voice control, App remote control | Control mode: temperature comparison | Control output: relay output | Input type (transmitter): three 1.5V battery(No.5)/USB-DC5V | Supply voltage (receiver): AC100-240V-50/60Hz | Temperature measurement range: 0-99°C | Sensor input: NTC | Transmit output: 433 RF communication | Remote control: Mobile APP-WIFI | Ambient temperature: -5-50°C | Display: LCD","Wi-Fi, RF 433MHz",Three 1.5V batteries (AAA) or USB DC 5V,,,"""Q＜100：32.08
100≤Q＜500：30.68
500≤Q＜1000：29.29
1000≤Q：27.89""",100,,,evaluation,,,,
AVATTO,WT-FP,Fil Pilot Smart Thermostat,Smart Thermostat,"Features: Energy saving up to 35%, Power-monitoring function, Compatible with 4-wire/6-wire, ÉcoWatt signal access | Power supply: 100-230V AC 50/60Hz | Wireless protocol type: Zigbee 3.0 | Operating temp: 0°C-40°C (indoor use only) | Storage temp: -20°C-70°C | Protection rating: IP20 | Dimensions (WxDxH): 90*90*26mm",Zigbee 3.0,AC 100-230V,,,,,,,evaluation,Thermostat intelligent Fil Pilote,HZ-CD-THERM05,,
AVATTO,WT-FP-5,Fil Pilot Smart Thermostat,Smart Thermostat,"Features: Energy saving up to 35%, Power-monitoring function, Compatible with 4-wire/6-wire, ÉcoWatt signal access | Power supply: 100-230V AC 50/60Hz | Wireless protocol type: Zigbee 3.0 | Operating temp: 0°C-40°C (indoor use only) | Storage temp: -20°C-70°C | Protection rating: IP20 | Dimensions (WxDxH): 90*90*26mm",Zigbee 3.0,AC 100-230V,,,Q＜5000:12.00,5000,,,evaluation,,,,
AVATTO,WT300,Smart Fan Coil Thermostat,Smart Thermostat,"Features: Modbus for option, 2 pipes and 4 pipes, 24V DC and 110-240V AC for option, Simple manually modechange operation, Screen backlight brightness adjustable | Power supply: AC 95-240V, 50-60HZ; DC 24V | Fan relay: 5A resistive, 3A inductive | Valve relay: 3A resistive, 1A inductive | Sensor: NTC3950, 10K | Accuracy: ±0.5°C | Set temp. range: 5-35°C | Shell Material: PC+ABS(Fireproof)",Modbus,AC 95-240V or DC 24V,,,,,,,evaluation,,,,
AVATTO,TRV10/TRV10-WiFi,Smart Thermostat Radiator Valve,Smart Thermostat,"Features: 2 direction LED display, Open window detection, Hand free voice control, Stroke distance detection, Backlight brightness adjustable | Power supply: 3*AA alkaline battery | Communication protocol: Zigbee 3.0 | Screen type: LED screen | Temperature sensor: NTC | Protection Degree: IP20 | Ambient Temperature: 0-50°C | Connection: M30*1.5mm | Linear travel: 6mm | Dimensions: 59.4*99.3*59.4mm",Zigbee 3.0,3 AA alkaline batteries,,,"""1000+：17.85
Customization only""",1000,,,evaluation,,,,
AVATTO,TRV06,Smart Radiator Valve,Smart Thermostat,"Features: APP control, Voice control, Stroke distance detection, Open window detection | Voice control: Amazon Alexa, Google Home | Frequency: 2.4GHz | Battery: 2*AA alkaline battery(LR6) | Battery life: Half a Year | Temperature range: 5°C-60°C | Temperature sensor: NTC | Wireless protocol: Zigbee 3.0 | Connection: M30*1.5mm | Max travel: 6mm | Working temperature: -10°C-40°C | Anti-Froze: Yes | Programmable: Yes","Zigbee 3.0, Wi-Fi 2.4GHz",2 AA alkaline batteries,,,"""Q＜100： 14.64
100≤Q＜500：13.95
500≤Q＜1000：13.25
1000≤Q： 12.55""",100,,,To be ordered,Valve thermostatique intelligente pour radiateur,HZ-CD-THERM08,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1k7LEa46FOoCwpd8o77o6YVbvQ24bQhjz.jpg,
AVATTO,TRVI6/TRV16-WiFi,Smart Thermostat Radiator Valve,Smart Thermostat,"Features: Ultra compact size, Powerful motor, Auto stroke distance detection, Programmable weekly schedule, Open window detection | System: Support IOS8.0/Android4.0 and above | Voice control: Amazon Alexa, Google Home, Yandex Alice, smart thing etc. | Protocol: Zigbee 3.0 | Material: ABS flame retardant | Temperature sensor: NTC | Battery: 2X1.5V AA Battery(alkaline) | Working temperature: -10°C-40°C | Thread size: M30*1.5mm | Product size: L:77mm, Φ51.5mm",Zigbee 3.0,2 AA alkaline batteries,,,"""Q＜100： 14.64
100≤Q＜500：13.95
500≤Q＜1000：13.25
1000≤Q： 12.55""",100,,,evaluation,,,,
AVATTO,WPS20-EU,Smart Power Strip,Smart Socket,"Features: Socket&USB/Type-C individual control, Physical on/off button, 5V/2.4A fast charging, Status memory function | Voice control: Amazon Alexa, Google Home | Input voltage: AC100-250V 50/60Hz | Outlet max load: 10A/2400W | USB/Type-C max load: 5V 2.4A | Dimension: 295*65*40mm | Cable length: 1.5m | WIFI standard: 2.4gHz 802.11 b/g/n | Material: PC+ABS | Fireproof standard: V0 | Working temperature: -20°C-55°C | Working humidity: 0%-95%RH non-condensing",Wi-Fi 2.4GHz 802.11 b/g/n,AC 100-250V,,,"""Q＜100： 13.95
100≤Q＜500：13.67
500≤Q＜1000：13.39
1000≤Q： 13.25""",100,,,Not selected,Multiprise intelligente,HZ-CD-GESTNRJ01,,
TUYA,UFO-R1,Universal Remote Control,Smart Remote Control,"Features: Easy connection setting, Mobile App remote control, Support air conditioning/TV/set-top box, 360° all-round no blind angle signal coverage | Power input: DC 5V/1A | Stand by power consumption: < 0.4W | Control distance: horizontal <= 8m, positive <= 15m | Launch tubes: 7 | Infrared control direction: multi-directional | Working temperature: -10°C-50°C | Working humidity: < 85% RH | Connection method: 2.4GHz 802.11b/g/n","Wi-Fi 2.4GHz 802.11 b/g/n, IR",DC 5V 1A USB,,,$4.50,5000,,,To be ordered,,,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1k7LEa46FOoCwpd8o77o6YVbvQ24bQhjz.jpg,
Wenhui,S15 Pro,Super Remote Hub,Smart Remote Control,"Features: All-in-one (T&H sensor, remote control, scene switch), Real-time monitoring of T&H, auto-adjustment of AC | Input: DC 5V/1A | IR Distance: <= 10m | IR Direction: Multidirectional | Working temperature: -10°C-50°C | Working humidity: < 85%RH | Connection mode: 2.4GHz 802.11b/g/n | Product Size: 65*65*17mm","Wi-Fi 2.4GHz 802.11 b/g/n, IR",DC 5V 1A USB,,,$9.00,1000,,,Not selected,,,,
AVATTO,S16 / S16 Pro,Smart IR Remote Control,Smart Remote Control,"Features: Wi-Fi IR+RF 2in 1 universal remote control, APP remote control, Hand free voice control, Multi device & brand compatible, 360° all direction strong & stable signal | Power input: DC 5V/1A(Micro USB2.0) | Infrared frequency: 38KHz | Infrared range: <= 10 Meters | RF frequency: RF433/RF315 | Wi-Fi protocol: 2.4GHz | Wi-Fi standard: IEEE 802.11 b/g/n | Operating temperature range: 0°C-60°C | Working humidity: 0-95%RH | Product size: Φ65*21mm","Wi-Fi 2.4GHz 802.11 b/g/n, IR, RF 433MHz, RF 315MHz",DC 5V 1A Micro USB,,,1-99:46                               100-999:44                     1000+：43,1,,,Not selected,,,,
AVATTO,WHS20S, Controller,Smart Remote Control,"Features: Smart IR remote control + temp & humidity sensor 2 in 1, Screen brightness adjustable, Temp & humidity calibration function, °C & °F for option, APP remote monitoring, Voice control | Input: 5V 1A | WIFI frequency: 2.4GHz IEEE 802.11 b/g/n | Temperature measure range: 0°C-60°C | Humidity measure range: 0% RH-99%RH | Temperature/Humidity accuracy: ±1°C / ±5%RH | Infrared frequency: 38KHz | Infrared range: <= 10 Meters | Dimensions: 80*86*105 mm | Net weight: 130g | Voice control: Amazon alexa, Google Home","Wi-Fi 2.4GHz 802.11 b/g/n, IR",5V 1A USB,,,"100：11.85
100-500：11.72
500-1000：11.44
1000+：11.16",100,,,To be ordered,,,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1Ap4AmOBm_1sYRfRWi5CoX9xy35Hmpbbh.jpg,
TUYA,F1S204-EU,Smart Plug-EU,Smart Socket,"Features: Support Alexa/Google Home/IFTTT voice control, Support APP remote control/timer, Power monitoring (optional) | Voltage range: 220-240V AC 50/60Hz | Max current: 16A | Communication protocol: Wi-Fi 2.4G",Wi-Fi 2.4GHz,AC 220-240V,,,,,,,Not selected,Prise intelligente,HZ-CD-GESTNRJ02,,
TUYA,F1S302-UK,Smart Plug-UK,Smart Socket,"Features: Support Alexa/Google Home/IFTTT voice control, Support APP remote control/timer, Power monitoring (optional) | Voltage range: 220-240V AC 50/60Hz | Max current: 13A | Communication protocol: Wi-Fi 2.4G",Wi-Fi 2.4GHz,AC 220-240V,,,,,,,Not selected,,,,
TUYA,F1S203-EU,Matter Smart Plug-EU,Smart Socket,"Features: Matter over Wi-Fi, Matter eco-system/multi-admin, Support APP remote control/timer/schedule, Power monitoring (optional) | Voltage range: 220-240V AC 50/60Hz | Max current: 16A | Communication protocol: Wi-Fi 2.4G | Certification: CE, RoHS","Wi-Fi 2.4GHz, Matter",AC 220-240V,,,,,,,Not selected,Prise intelligente Matter,HZ-CD-GESTNRJ03,,
TUYA,F2S203-EU,Bidirectional Measurement Plug - EU,Smart Socket,"Features: For energy monitoring of balcony power plant, Support APP remote control/timer/schedule, 2 way power monitoring | Voltage range: 220-240V AC 50/60Hz | Max current: 16A | Communication protocol: Wi-Fi 2.4G | Certification: CE, RoHS",Wi-Fi 2.4GHz,AC 220-240V,,,,,,,Not selected,Prise intelligente de mesure bidirectionnelle,HZ-CD-GESTNRJ04,,
TUYA,F3S202-US / F3202-US,Smart Plug-NA,Smart Socket,"Features: Support Alexa/Google Home/IFTTT voice control, Support App remote control / timer | Rated voltage: AC 125V | Voltage range: AC120V 50/60Hz | Max current: 15A | Communication protocol: Wi-Fi 2.4G | N.W: 60g | Product Size: 38*80*47.8mm | Certificate: FCC,ETL",Wi-Fi 2.4GHz,AC 120V,,,,,,,Not selected,,,,
TUYA,F7501-JP,Smart Plug-JP,Smart Socket,"Features: Support Alexa/Google Home/IFTTT voice control, Support App remote control / timer | Rated voltage: AC 125V | Voltage range: AC120V 50/60Hz | Max current: 12A | Communication protocol: Wi-Fi 2.4G | N.W: 60g | Product Size: 36*70*46mm | Certificate: FCC,ETL",Wi-Fi 2.4GHz,AC 120V,,,,,,,Not selected,,,,
TUYA,F3S202-NA,Matter Smart Plug-NA,Smart Socket,"Features: Matter over Wi-Fi, Matter eco-system/multi-admin, Support APP remote control/timer/schedule, Power monitoring (optional) | Voltage: AC90-250V, 50/60Hz | Max current: 15A | Communication protocol: Wi-Fi 2.4G | Certification: ETL,FCC","Wi-Fi 2.4GHz, Matter",AC 90-250V,,,,,,,Not selected,,,,
TUYA,PS162-W-EU,Smart Scene Switch,Smart Electrical Products,"Features: LCD display, Bi-directional energy metering, Remote management on/off, Prepayment optional, Monitor real-time voltage/current/power | Rated voltage AC: 90-300V (single phase), 208/400/415V (three phase) | Rated current: 5(65)A (single), 5(60)A/10(80)A (three) | Connection mode: Direct type | Operating temp: -25°C to +70°C | Accuracy class: 1% or 0.5%AC voltage",Not specified,AC 90-300V,,,,,,,Not selected,,,,
TUYA,TSW-T111,Stick Logger,Smart Electrical Products,"Features: Support mainstream brands of inverters, Collects data on operating status and power generation | Interface support: RS485/RS232/TTL/USB or other serial communications","RS485, RS232, TTL",Not specified,,,,,,,To be ordered,Enregistreur intelligent Stick,HZ-CD-GESTNRJ05,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/16iC666qNUQ_ncLNn9fLJab603Y6glN_E.jpg,
TUYA,S16Pro,Air-Conditioner Controller,Smart Electrical Products,"Features: Remote control Air-conditioner by App, Local touch panel control, Work with Alexa or google assistant, Smart schedule | Input: DC 5V/1A | Dimension: 80*80*16mm | Infrared frequency: 38kHz | Temp measure range: 0°C-60°C | Humidity measure range: 0%RH-99%RH | Wi-Fi frequency: Wi-Fi 2.4G | Display: LCD","Wi-Fi 2.4GHz, IR",DC 5V 1A USB,,,$16.5,1000,,,To be ordered,,,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1OMpTR2gp7dlrytZPKnGHXEqRBktzdES5.jpg,
TUYA,PS121-W-US,Smart Scene Dimmer Switch,Smart Electrical Products,"Features: Smart devices and scenes control, Supports wireless three/multi-way control and smart lighting, Customizable screen settings, ETL certified | Wireless protocol: Wi-Fi+bluetooth | Input: 100-240V~50/60Hz | Load: LED/CFL 300W/110V Max, Incandescent/Halogen 600W/110V Max | Sensor: Proximity to bright screen","Wi-Fi, Bluetooth",AC 100-240V,,,,,,,Not selected,,,,
TUYA,VEN5KHB-D1,Residential Single-Phase Hybrid inverter,Smart Electrical Products,"Features: Robust backup power output capacity, Wide range of MPPT voltage range, Reliable IP65 for outdoor using | Power output: 5KVA | MPPT voltage range: 125V-550V | Max. solar input: 7KW | Ingress protection: IP65 | Max. parallel operation: 4 Units",Not specified,Not specified,,,,,,,To be ordered,,,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1Z8cFI1iZxWrkOlH_TlWb7lFFiKznxC2V.jpg,
TUYA,URA-MESS1,Balcony Energy Storage,Smart Electrical Products,"Features: Integrated MPPT, direct PV input, Easy installation and commissioning, Home-ESS grade LFP battery, Easy Plug & Play MC4 connectors | Expandable capacity: 2240Wh-6720Wh | Max. solar input: 1,000W | Max. DC output: 800W | Ingress protection: IP65 | Life cycles: 6000 cycles",Not specified,Not specified,,,,,,,To be ordered,,,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1b2CpR6UWlpORpNjYTMgjZ_bx3nwxLIMv.jpg,
TUYA,DDS238-1/DTS238-7,Smart Energy Monitor,Smart Electrical Products,"Features: Single-phase, LCD display, Bi-directional energy metering, Remote management on/off, Prepayment optional, Manage real-time voltage/current/power | Rated voltage AC: 90-300V | Rated current: 10(100)A | Rate frequency: 50Hz/60Hz | Connection mode: Clamp CT | Operating temp: -25°C to +70°C | Accuracy class: 1% or 0.5%AC voltage",Not specified,AC 90-300V,,,,,,,Not selected,,,,
TUYA,AICB2SP,Miniature Circuit Breaker,Circuit Breaker,"Features: Remote/local switch, Accuracy level 1, Monitor real-time info, Compact size | Pole: 1P/2P/3P/4P | Rated voltage: AC 110/230V | Rated frequency: 50Hz/60Hz | Operating temperature: -25°C to +70°C | Frame rated current: 100A | Rated current: 6A to 100A | Mechanical lifespan: 20,000 times | Electrical lifespan: 10,000 times",Not specified,AC 110/230V,,,,,,,evaluation,,,,
TUYA,AICB2SLP,Miniature Circuit Breaker,Circuit Breaker,"Features: Type A leakage protection (30mA-300mA), Remote/local on/off, Leakage self-checking, Accuracy level 1, Monitor real-time info | Pole: 2P/4P | Rated voltage: AC 110/230V | Rated frequency: 50Hz/60Hz | Operating temperature: -25C to +70°C | Frame rated current: 100A | Rated current: 6A to 100A | Mechanical lifespan: 20,000 times | Electrical Lifespan: 10,000 times",Not specified,AC 110/230V,,,,,,,evaluation,,,,
TUYA,F1 7- C+W 8,PetFeeder+ PetWaterFountain,Pets accessories,"Capacity: 4 L (pet feeder)  +  3 L (pet water fountain)
| Material: ABS plastic, 304 stainless steel |Rated Power: 5 W | Wi-Fi: 2.4 GHz  &  5 GHz | Operating Temperature: 0 °C – 50 °C","Wi-Fi 2.4GHz, Wi-Fi 5GHz",5W AC,Universal,,$16.20,1000,,,To be ordered,,,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1v_MkMoUV21wC8wGPSKs5E-JZUr8WrM3L.jpg,
TUYA,WVC-800,Microinverter,Smart Electrical Products,"Features: External antenna for reliable Wi-Fi, Reliable IP65 for outdoor using, Adjustable power output on App | Max. DC output: 800W | Max. solar input: 1000W | MPPT voltage range: 30V-60V | Ingress protection: IP65",Wi-Fi,Not specified,,,,,,,Not selected,,,,
TUYA,GT5D / GT5C,Smart Watch,Smart Health,"Screen: 1.69-inch full-screen touch, 240PPI retina-level | Features: 24-hour heart rate monitoring, blood oxygen saturation monitoring, IP68 protection, 50 meters waterproof, swimming wearable | Chipset: REALTEK8762CK | Resolution: 240*280 | Battery: 175mAh | Waterproof Level: IP68 | Charging way: Wireless charging | Flash: 160KB SRAM+128Mb Flash",Bluetooth,"175mAh rechargeable battery, wireless charging",,,,,,,Not selected,,,,
TUYA,V101,Smart Watch,Smart Health,"Features: 24-hour continuous automatic heart rate monitoring, 22g weight, IP68 protection, multiple dial styles, multiple sports modes | Chipset: REALTEK8752CJ | Screen size: 0.96 inch IPS | Resolution: 160*80 | Battery: 90mAh | Waterproof Level: IP68 | Working time: 7-10 days",Bluetooth,90mAh rechargeable battery,,,,,,,Not selected,,,,
TUYA,TG-R007,Smart Ring,Smart Health,"Features: Support outdoor sports and record data/track, 7*24 hours automatic detection of heart rate/blood oxygen, Accurately record and monitor sleep quality | Colors: black, rose gold, gold, white (customizable) | Sizes: 8 sizes from 6-13# | Chipset: Dialog DA14585 | Origin sensor: Tianyi 3602 | Battery type: Polymer | Charging: Magnetic suction | Material: Ceramic | Working time: 7-9 days | Waterproof: IP68",Bluetooth,"Rechargeable polymer battery, magnetic charging",,,,,,,Not selected,,,,
TUYA,CT08,Visual Otoscope,Smart Health,"Features: Automatically connects to device hotspots, high-definition images without lag, various colors available, various silicone covers available | Appearance process: Black/white | Material: Plastic Cement(PC+ABS) | Master chip: BK7231U(BK) | Battery: 150mAh | Pixel: 30W sensor | Focal IP Level: IP67 | Visual angle: 70 Angle | Focal length: 13mm | Camera size: 3.5mm | LED lamp: 6*LED | Camera tube size: 4.2*52mm | Operation temp: 0°C-50°C | Connection: Wi-Fi | Charging: Type-C | Product size: 141*14*12mm | Product weight: 14g",Wi-Fi,"150mAh battery, USB Type-C charging",,,,,,,Not selected,,,,
TUYA,BF8072,Smart Scale,Smart Health,"Features: 18 items of body data (weight, fat mass, BMI, etc.) | Capacity: 3-180kg | Division: 100g | Product size: 300*300*25mm | LED display | Unit: KG/LB | Power: 6V 4*AAA battery | Indicators: Low battery (LO) and overload (Err) | Material: tempered glass+ABS plastic",Not specified,4 AAA batteries (6V),,,,,,,Not selected,,,,
TUYA,CT01,Visual Otoscope,Smart Health,"Features: Threaded ear spoons, automatically connect to device hotspots, high-definition images without lag, customizable colors, variety of silicone sleeves available | Appearance process: Black/white | Material: Plastic Cement(PC+ABS) | Master chip: BK7231U(BK) | Battery: 600mAh | Pixel: 30W sensor | Focal IP Level: IP67 | Visual angle: 70 Angle | Focal length: 13mm | Camera size: 3.5mm | LED lamp: 6*LED | Camera tube size: 4.2*52mm | Operation temp: 0°C-50°C | Connection: Wi-Fi | Charging: Type-C | Product size: 160*27*27mm | Product weight: 43g",Wi-Fi,"600mAh battery, USB Type-C charging",,,,,,,Not selected,,,,
TUYA,CT01,Smart Jump Rope,Smart Health,"Features: Large high-definition display, multiple rope skipping games | Handle Material: Plastic with texture | Button: Power*1, switch*1 | Display: LED with big digital | Certificate: CE, RoHS, FCC | Packing: gift box | Packing detail: Handle*2, 3M rope*1, Type C cable*1, carry bag*1, cordless balls*2 | Connection: BT4.2, support connect with Smart Life APP | Rope length: 3m PVC (adjustable) | Color: green | Vibration: Built-in motor | Battery: 300 mAh lithium polymer (lasts 2-3 months)",,6V (4 AAA batteries),,,,,,,Not selected,,,,
TONGOU,TOQCB2-80-JW,Smart Circuit Breaker (1P/2P),Circuit Breaker,"Features: Remote Control, Voice Control, Time Mode, Circuit Protection, Electricity Consumption, Real-Time Power/Current/Voltage, Temperature Protection, Operation Log, DIN Rail Installation, Maintenance Mode | Standards: IEC/EN 60947, IEC/EN 60898, IEC/EN 50557, EN 301 489, EN 300 328, EN IEC 61000 | Poles: 1P/2P | Frequency: 50/60Hz | Current Frame(A): 16,20,32,40,63,80 | Curve Code: B, C, D | Rated Insulation Voltage(V): AC 500V | Breaking Capacity(kA): 10kA | Short Circuit Protection: acc. to IEC/EN 60947-2,IEC/EN 60898-1 | Operational Safety: Physical Safety Lock | Monitoring: Real-time Voltage, Current, Power, Power Factor, Power Consumption, Temperature, Phase Angle, Switch State, Device Operating Status, Frequency | Function: Multiple Timing, Over/Under-voltage Protection, Over-current/Power Protection, Temperature protection, Short Circuit Protection, Auto-reclosing, Remote Control, Voice Control | Mounting: DIN Rail 35mm",TCP/IP:Wi-Fi(2.412~2.484GHz) IEEE 802.11b/g/n,AC 145V-230V,,,,,,,evaluation,,,,
TONGOU,TOQCB2-80-JZ,Smart Circuit Breaker (1P/2P),Circuit Breaker,"Features: Remote Control, Voice Control, Time Mode, Circuit Protection, Electricity Consumption, Real-Time Power/Current/Voltage, Temperature Protection, Operation Log, DIN Rail Installation, Maintenance Mode | Standards: IEC/EN 60947, IEC/EN 60898, IEC/EN 50557, EN 301 489, EN 300 328, EN IEC 61000 | Poles: 1P/2P | Frequency: 50/60Hz | Current Frame(A): 16,20,32,40,63,80 | Curve Code: B, C, D | Rated Insulation Voltage(V): AC 500V | Breaking Capacity(kA): 10kA | Short Circuit Protection: acc. to IEC/EN 60947-2,IEC/EN 60898-1 | Operational Safety: Physical Safety Lock | Monitoring: Real-time Voltage, Current, Power, Power Factor, Power Consumption, Temperature, Phase Angle, Switch State, Device Operating Status, Frequency | Function: Multiple Timing, Over/Under-voltage Protection, Over-current/Power Protection, Temperature protection, Short Circuit Protection, Auto-reclosing, Remote Control, Voice Control | Mounting: DIN Rail 35mm",Zigbee(2.400-2.483GHz) IEEE 802.15.4,AC 145V-230V,,,,,,,evaluation,,,,
TONGOU,TOQCB2-80-JR,Smart Circuit Breaker (1P/2P),Circuit Breaker,"Features: Remote Control, Voice Control, Time Mode, Circuit Protection, Electricity Consumption, Real-Time Power/Current/Voltage, Temperature Protection, Operation Log, DIN Rail Installation, Maintenance Mode | Standards: IEC/EN 60947, IEC/EN 60898, IEC/EN 50557, EN 301 489, EN 300 328, EN IEC 61000 | Poles: 1P/2P | Frequency: 50/60Hz | Current Frame(A): 16,20,32,40,63,80 | Curve Code: B, C, D | Rated Insulation Voltage(V): AC 500V | Breaking Capacity(kA): 10kA | Short Circuit Protection: acc. to IEC/EN 60947-2,IEC/EN 60898-1 | Operational Safety: Physical Safety Lock | Monitoring: Real-time Voltage, Current, Power, Power Factor, Power Consumption, Temperature, Phase Angle, Switch State, Device Operating Status, Frequency | Function: Multiple Timing, Over/Under-voltage Protection, Over-current/Power Protection, Temperature protection, Short Circuit Protection, Auto-reclosing, Remote Control, Voice Control | Mounting: DIN Rail 35mm",Modbus-RTU,AC 145V-230V,,,,,,,evaluation,,,,
TONGOU,TOQCB2-80-JL,Smart Circuit Breaker (1P/2P),Circuit Breaker,"Features: Remote Control, Voice Control, Time Mode, Circuit Protection, Electricity Consumption, Real-Time Power/Current/Voltage, Temperature Protection, Operation Log, DIN Rail Installation, Maintenance Mode | Standards: IEC/EN 60947, IEC/EN 60898, IEC/EN 50557, EN 301 489, EN 300 328, EN IEC 61000 | Poles: 1P/2P | Frequency: 50/60Hz | Current Frame(A): 16,20,32,40,63,80 | Curve Code: B, C, D | Rated Insulation Voltage(V): AC 500V | Breaking Capacity(kA): 10kA | Short Circuit Protection: acc. to IEC/EN 60947-2,IEC/EN 60898-1 | Operational Safety: Physical Safety Lock | Monitoring: Real-time Voltage, Current, Power, Power Factor, Power Consumption, Temperature, Phase Angle, Switch State, Device Operating Status, Frequency | Function: Multiple Timing, Over/Under-voltage Protection, Over-current/Power Protection, Temperature protection, Short Circuit Protection, Auto-reclosing, Remote Control, Voice Control | Mounting: DIN Rail 35mm",LTE Cat.1: LTE-FDD:B1/B3/B5/B8/B20/B28A* LTE-TDD:B38/40/41 GSM/GPRS:GSM900/DCS1800,AC 145V-230V,,,,,,,evaluation,,,,
TONGOU,TOQCB2-80-JM,Smart Circuit Breaker (1P/2P),Circuit Breaker,"Features: Remote Control, Voice Control, Time Mode, Circuit Protection, Electricity Consumption, Real-Time Power/Current/Voltage, Temperature Protection, Operation Log, DIN Rail Installation, Maintenance Mode | Standards: IEC/EN 60947, IEC/EN 60898, IEC/EN 50557, EN 301 489, EN 300 328, EN IEC 61000 | Poles: 1P/2P | Frequency: 50/60Hz | Current Frame(A): 16,20,32,40,63,80 | Curve Code: B, C, D | Rated Insulation Voltage(V): AC 500V | Breaking Capacity(kA): 10kA | Short Circuit Protection: acc. to IEC/EN 60947-2,IEC/EN 60898-1 | Operational Safety: Physical Safety Lock | Monitoring: Real-time Voltage, Current, Power, Power Factor, Power Consumption, Temperature, Phase Angle, Switch State, Device Operating Status, Frequency | Function: Multiple Timing, Over/Under-voltage Protection, Over-current/Power Protection, Temperature protection, Short Circuit Protection, Auto-reclosing, Remote Control, Voice Control | Mounting: DIN Rail 35mm",TCP/UDP: Matter,AC 145V-230V,,,,,,,evaluation,,,,
TONGOU,TOQCB2-80-JW,Smart Circuit Breaker (3P/4P),Circuit Breaker,"Features: Remote Control, Voice Control, Time Mode, Circuit Protection, Electricity Consumption, Real-Time Power/Current/Voltage, Temperature Protection, Operation Log, DIN Rail Installation, Maintenance Mode | Standards: IEC/EN 60947, IEC/EN 60898, IEC/EN 50557, EN 301 489, EN 300 328, EN IEC 61000 | Poles: 3P/4P | Frequency: 50/60Hz | Current Frame(A): 16,20,32,40,63,80 | Curve Code: B, C, D | Rated Insulation Voltage(V): AC 500V | Breaking Capacity(kA): 10kA | Function: Multiple Timing, Over/Under-voltage Protection, Over-current/Power Protection, Temperature protection, Short Circuit Protection, Auto-reclosing, Remote Control, Voice Control | Mounting: DIN Rail 35mm",TCP/IP:Wi-Fi(2.412~2.484GHz) IEEE 802.11b/g/n,"MCU: AC 380V-415V, Phase Line: AC 230V(L1-N, L2-N, L3-N)",,,,,,,evaluation,,,,
